won,drawn,lost,GF,GA,GD,points,WF,DF,LF,winner
5,4,10,18,28,-10,19,1,0,4,-1
6,1,12,19,31,-12,19,3,0,2,-1
5,4,11,15,35,-20,19,2,0,3,-1
4,6,10,24,28,-4,18,3,0,2,-1
3,7,10,14,36,-22,16,0,3,2,-1
12,3,4,39,20,19,39,2,1,2,-1
10,7,2,34,15,19,37,3,2,0,-1
10,5,4,30,18,12,35,4,0,1,1
10,3,6,22,21,1,33,2,1,2,-1
9,5,5,28,19,9,32,0,1,4,-1
10,2,6,29,24,5,32,3,1,1,-1
9,4,6,27,26,1,31,3,2,0,-1
7,7,5,22,19,3,28,3,2,0,-1
7,6,6,25,22,3,27,2,1,2,-1
7,5,7,22,18,4,26,1,2,2,-1
7,4,8,21,23,-2,25,3,2,0,-1
7,3,9,24,28,-4,24,2,1,2,-1
6,6,7,18,22,-4,24,2,2,1,-1
6,4,9,22,25,-3,22,2,0,3,-1
6,4,9,17,20,-3,22,2,0,3,-1
6,3,10,24,26,-2,21,1,1,3,-1
4,6,9,12,26,-14,18,1,1,3,-1
4,4,11,15,29,-14,16,1,1,3,-1
3,6,9,19,32,-13,15,0,3,2,-1
3,5,11,18,35,-17,14,0,2,3,-1
15,1,3,38,13,25,46,5,0,0,-1
13,6,0,35,12,23,45,3,2,0,1
13,3,3,36,16,20,42,2,1,2,-1
8,6,5,27,22,5,30,2,2,1,-1
8,4,7,30,26,4,28,2,0,3,-1
7,5,6,28,21,7,26,2,2,1,-1
6,8,5,26,22,4,26,1,3,1,-1
7,5,7,18,15,3,26,3,0,2,-1
7,5,6,16,20,-4,26,2,0,3,-1
6,6,7,19,23,-4,24,3,1,1,-1
6,5,8,23,25,-2,23,3,1,1,-1
5,8,6,20,28,-8,23,1,2,2,-1
5,6,8,27,27,0,21,0,3,2,-1
6,3,10,26,29,-3,21,2,1,2,-1
5,6,7,14,18,-4,21,1,3,1,-1
5,4,10,20,28,-8,19,1,1,3,-1
4,6,9,28,31,-3,18,0,3,2,-1
5,3,11,19,29,-10,18,1,0,4,-1
4,5,10,18,40,-22,17,1,3,1,-1
3,5,10,16,39,-23,14,1,1,3,-1
15,4,1,40,8,32,49,4,1,0,1
13,5,2,48,22,26,44,4,1,0,-1
11,7,2,31,13,18,40,4,1,0,-1
12,4,4,23,17,6,40,3,1,1,-1
10,5,5,34,24,10,35,3,1,1,-1
10,4,6,34,20,14,34,3,1,1,-1
9,4,7,23,28,-5,31,4,1,0,-1
8,5,7,24,19,5,29,4,1,0,-1
6,8,6,23,21,2,26,4,0,1,-1
7,5,8,24,27,-3,26,1,2,2,-1
6,7,7,22,24,-2,25,0,1,4,-1
6,6,8,24,21,3,24,1,1,3,-1
6,5,9,26,29,-3,23,0,0,5,-1
